embryonic_score,celltype,condition,x_group,color_cond
-0.04520165477480684,All fibroblasts,Control,CTRL,Control
-0.1363382160989059,All fibroblasts,Control,CTRL,Control
-0.13691735937318328,All fibroblasts,Control,CTRL,Control
-0.04409412754440328,All fibroblasts,Control,CTRL,Control
-0.035421022210502175,All fibroblasts,Control,CTRL,Control
0.008526162963593872,All fibroblasts,Control,CTRL,Control
-0.13925534615973784,All fibroblasts,Control,CTRL,Control
0.08379935579851416,All fibroblasts,Control,CTRL,Control
-0.07435561783234303,All fibroblasts,Control,CTRL,Control
-0.06260658146635864,All fibroblasts,Control,CTRL,Control
-0.10655445748237613,All fibroblasts,Control,CTRL,Control
-0.10177492349990014,All fibroblasts,Control,CTRL,Control
-0.1193749706114269,All fibroblasts,Control,CTRL,Control
-0.14753764062451208,All fibroblasts,Control,CTRL,Control
-0.0720753440895816,All fibroblasts,Control,CTRL,Control
-0.05507477032427196,All fibroblasts,Control,CTRL,Control
-0.1034997260368832,All fibroblasts,Control,CTRL,Control
-0.09427006154674056,All fibroblasts,Control,CTRL,Control
0.057406550983020395,All fibroblasts,Control,CTRL,Control
-0.16063312771732474,All fibroblasts,Control,CTRL,Control
-0.07098003562486131,All fibroblasts,Control,CTRL,Control
-0.0610846581714895,All fibroblasts,Control,CTRL,Control
-0.024889405246465546,All fibroblasts,Control,CTRL,Control
-0.015048304841345284,All fibroblasts,Control,CTRL,Control
0.0234546998256736,All fibroblasts,Control,CTRL,Control
0.11512083296654782,All fibroblasts,Control,CTRL,Control
-0.11631589171490475,All fibroblasts,Control,CTRL,Control
-0.11982520920362538,All fibroblasts,Control,CTRL,Control
-0.17624675597451211,All fibroblasts,Control,CTRL,Control
-0.17001531686818214,All fibroblasts,Control,CTRL,Control
-0.08592340628150051,All fibroblasts,Control,CTRL,Control
-0.068303178016923,All fibroblasts,Control,CTRL,Control
-0.24299507913244864,All fibroblasts,Control,CTRL,Control
-0.14411521039457942,All fibroblasts,Control,CTRL,Control
-0.13902913976647446,All fibroblasts,Control,CTRL,Control
0.004297935828451699,All fibroblasts,Control,CTRL,Control
-0.03502735364209909,All fibroblasts,Control,CTRL,Control
0.035440427615545625,All fibroblasts,Control,CTRL,Control
-0.2534405023863252,All fibroblasts,Control,CTRL,Control
-0.034232431533133274,All fibroblasts,Control,CTRL,Control
-0.11468828036401893,All fibroblasts,Control,CTRL,Control
-0.13651293891193936,All fibroblasts,Control,CTRL,Control
-0.06775169105858458,All fibroblasts,Control,CTRL,Control
-0.025451987493001968,All fibroblasts,Control,CTRL,Control
-0.04510712986498375,All fibroblasts,Control,CTRL,Control
-0.018218952497953474,All fibroblasts,Control,CTRL,Control
-0.018866230223252983,All fibroblasts,Control,CTRL,Control
-0.025873031710750023,All fibroblasts,Control,CTRL,Control
-0.147409137046853,All fibroblasts,Control,CTRL,Control
-0.0914857677419648,All fibroblasts,Control,CTRL,Control
-0.07356073205831613,All fibroblasts,Control,CTRL,Control
-0.21153835346096028,All fibroblasts,Control,CTRL,Control
-0.13432564716372686,All fibroblasts,Control,CTRL,Control
-0.10798966806648483,All fibroblasts,Control,CTRL,Control
-0.13431606492826234,All fibroblasts,Control,CTRL,Control
-0.06990720652125564,All fibroblasts,Control,CTRL,Control
-0.13875139979706866,All fibroblasts,Control,CTRL,Control
-0.03515723108619498,All fibroblasts,Control,CTRL,Control
-0.07196161076133517,All fibroblasts,Control,CTRL,Control
-0.046034028999244234,All fibroblasts,Control,CTRL,Control
0.03191526650400457,All fibroblasts,Control,CTRL,Control
-0.06142590437845347,All fibroblasts,Control,CTRL,Control
-0.12594192421715264,All fibroblasts,Control,CTRL,Control
-0.08823428533977341,All fibroblasts,Control,CTRL,Control
-0.002908778404650308,All fibroblasts,Control,CTRL,Control
0.1253641080746704,All fibroblasts,Control,CTRL,Control
-0.025190025880396684,All fibroblasts,Control,CTRL,Control
-0.11532455727598846,All fibroblasts,Control,CTRL,Control
-0.044363573457136665,All fibroblasts,Control,CTRL,Control
-0.12232830245982561,All fibroblasts,Control,CTRL,Control
-0.06669380409023869,All fibroblasts,Control,CTRL,Control
-0.1833982611306359,All fibroblasts,Control,CTRL,Control
-0.03383030962143437,All fibroblasts,Control,CTRL,Control
0.0848287306114725,All fibroblasts,Control,CTRL,Control
-0.14219584389190454,All fibroblasts,Control,CTRL,Control
-0.10586093102320143,All fibroblasts,Control,CTRL,Control
-0.4988916224533015,All fibroblasts,Control,CTRL,Control
-0.17797907174782154,All fibroblasts,Control,CTRL,Control
0.09171999749855132,All fibroblasts,Control,CTRL,Control
0.01203766954589169,All fibroblasts,Control,CTRL,Control
-0.1741206842757579,All fibroblasts,Control,CTRL,Control
-0.10200121659315337,All fibroblasts,Control,CTRL,Control
-0.09548168417931216,All fibroblasts,Control,CTRL,Control
-0.04378590493274115,All fibroblasts,Control,CTRL,Control
-0.1002389554372558,All fibroblasts,Control,CTRL,Control
0.04045379646883102,All fibroblasts,Control,CTRL,Control
-0.061948624271517455,All fibroblasts,Control,CTRL,Control
-0.19789562963037535,All fibroblasts,Control,CTRL,Control
-0.09487169537517401,All fibroblasts,Control,CTRL,Control
-0.05900359835477685,All fibroblasts,Control,CTRL,Control
0.0006121623728600339,All fibroblasts,Control,CTRL,Control
-0.10512412301110748,All fibroblasts,Control,CTRL,Control
0.007665044964723786,All fibroblasts,Control,CTRL,Control
-0.09771381325494197,All fibroblasts,Control,CTRL,Control
-0.15709317675669052,All fibroblasts,Control,CTRL,Control
-0.015399027035170787,All fibroblasts,Control,CTRL,Control
-0.08828279461938274,All fibroblasts,Control,CTRL,Control
-0.2106290515219093,All fibroblasts,Control,CTRL,Control
-0.11811760933812514,All fibroblasts,Control,CTRL,Control
-0.07654263592961841,All fibroblasts,Control,CTRL,Control
-0.06696803397069237,All fibroblasts,Control,CTRL,Control
0.16124757618029892,All fibroblasts,Control,CTRL,Control
-0.07180533612572489,All fibroblasts,Control,CTRL,Control
-0.1707670554193815,All fibroblasts,Control,CTRL,Control
-0.04773738182259871,All fibroblasts,Control,CTRL,Control
-0.09590155367465392,All fibroblasts,Control,CTRL,Control
0.2408560245562212,All fibroblasts,Control,CTRL,Control
-0.13603487876707743,All fibroblasts,Control,CTRL,Control
-0.012513722569871571,All fibroblasts,Control,CTRL,Control
-0.11001216658990484,All fibroblasts,Control,CTRL,Control
-0.16073312170305232,All fibroblasts,Control,CTRL,Control
-0.0888366085064487,All fibroblasts,Control,CTRL,Control
-0.2819366204027315,All fibroblasts,Control,CTRL,Control
0.044235306568243156,All fibroblasts,Control,CTRL,Control
-0.0954511978982921,All fibroblasts,Control,CTRL,Control
-0.052970673698504986,All fibroblasts,Control,CTRL,Control
0.02431803019325193,All fibroblasts,Control,CTRL,Control
-0.05989460016629841,All fibroblasts,Control,CTRL,Control
0.006158939107325323,All fibroblasts,Control,CTRL,Control
-0.1464151226987546,All fibroblasts,Control,CTRL,Control
-0.004569715175936198,All fibroblasts,Control,CTRL,Control
-0.02523081087331181,All fibroblasts,Control,CTRL,Control
-0.040402896795021584,All fibroblasts,Control,CTRL,Control
-0.053848393272079874,All fibroblasts,Control,CTRL,Control
-0.06389454767237428,All fibroblasts,Control,CTRL,Control
-0.016252319422483685,All fibroblasts,Control,CTRL,Control
-0.11117202532828827,All fibroblasts,Control,CTRL,Control
-0.13277529204857139,All fibroblasts,Control,CTRL,Control
-0.11491943140975615,All fibroblasts,Control,CTRL,Control
-0.11867824708140484,All fibroblasts,Control,CTRL,Control
-0.13524058958572294,All fibroblasts,Control,CTRL,Control
-0.06509787848801657,All fibroblasts,Control,CTRL,Control
-0.05512004210019435,All fibroblasts,Control,CTRL,Control
0.014628419947347135,All fibroblasts,Control,CTRL,Control
