embryonic_score,celltype,condition,celltype_short
-0.04786039005606103,Fibroblast 2,Control,FIB2
-0.09763199449989456,Fibroblast 1,Control,FIB1
-0.03704556944287815,Fibroblast 3,Control,FIB3
-0.19633187182586778,Fibroblast 2,Control,FIB2
-0.08013672407665859,Fibroblast 2,Control,FIB2
-0.0841520637892662,Fibroblast 1,Control,FIB1
-0.05278966803082648,Fibroblast 2,Control,FIB2
-0.08110570469421098,Fibroblast 2,Control,FIB2
-0.15125663317872767,Fibroblast 3,Control,FIB3
0.06039934523402826,Fibroblast 1,Control,FIB1
-0.05627965826256944,Fibroblast 2,Control,FIB2
-0.06360688833191429,Fibroblast 3,Control,FIB3
-0.04225427298414284,Fibroblast 3,Control,FIB3
-0.006167537595053823,Fibroblast 3,Control,FIB3
-0.07160985352850767,Fibroblast 2,Control,FIB2
-0.0930772753083113,Fibroblast 3,Control,FIB3
-0.03925167471394063,Fibroblast 1,Control,FIB1
0.062959648972886,Fibroblast 1,Control,FIB1
-0.04406385093335377,Fibroblast 1,Control,FIB1
-0.09715258430864993,Fibroblast 2,Control,FIB2
-0.05133274969755952,Fibroblast 3,Control,FIB3
-0.07517202767595478,Fibroblast 3,Control,FIB3
-0.11448996956483087,Fibroblast 3,Control,FIB3
-0.16093673006643006,Fibroblast 2,Control,FIB2
-0.12087497439173436,Fibroblast 3,Control,FIB3
-0.03949887845407263,Fibroblast 1,Control,FIB1
-0.018848297788910673,Fibroblast 2,Control,FIB2
-0.11505974218262283,Fibroblast 2,Control,FIB2
-0.16919479428863665,Fibroblast 3,Control,FIB3
-0.09612125061993065,Fibroblast 3,Control,FIB3
-0.05014999929011216,Fibroblast 1,Control,FIB1
-0.06533693596691549,Fibroblast 3,Control,FIB3
-0.09280336073644542,Fibroblast 1,Control,FIB1
-0.022847086016478835,Fibroblast 3,Control,FIB3
-0.038734278309475074,Fibroblast 3,Control,FIB3
-0.12161558765695316,Fibroblast 2,Control,FIB2
-0.03463750972468495,Fibroblast 2,Control,FIB2
-0.05465135778042268,Fibroblast 2,Control,FIB2
-0.026638559179179185,Fibroblast 3,Control,FIB3
-0.09443256124447397,Fibroblast 3,Control,FIB3
-0.008732907256486719,Fibroblast 3,Control,FIB3
-0.11042289426454682,Fibroblast 2,Control,FIB2
-0.05224855428909615,Fibroblast 3,Control,FIB3
-0.15155810289551933,Fibroblast 3,Control,FIB3
0.02383384710024265,Fibroblast 1,Control,FIB1
-0.15804229548457027,Fibroblast 3,Control,FIB3
-0.09725537871954422,Fibroblast 3,Control,FIB3
0.07493911200746087,Fibroblast 3,Control,FIB3
-0.08843558501412706,Fibroblast 3,Control,FIB3
-0.17611476122101488,Fibroblast 2,Control,FIB2
-0.11195809273970107,Fibroblast 2,Control,FIB2
-0.09788742117929473,Fibroblast 1,Control,FIB1
-0.102851507902986,Fibroblast 2,Control,FIB2
0.06934200580361233,Fibroblast 1,Control,FIB1
-0.05254201011377403,Fibroblast 3,Control,FIB3
-0.12988948846464654,Fibroblast 2,Control,FIB2
0.07934964290196186,Fibroblast 1,Control,FIB1
-0.017151264122990117,Fibroblast 1,Control,FIB1
0.10078720989537389,Fibroblast 4,Control,FIB4
-0.16883034952691472,Fibroblast 3,Control,FIB3
-0.05754331277343787,Fibroblast 3,Control,FIB3
-0.12388007373289424,Fibroblast 1,Control,FIB1
-0.0366647291652563,Fibroblast 2,Control,FIB2
-0.16435407330718146,Fibroblast 2,Control,FIB2
-0.029174306126269936,Fibroblast 1,Control,FIB1
0.03825610457320893,Fibroblast 1,Control,FIB1
-0.11950323577152323,Fibroblast 2,Control,FIB2
-0.08606880300991167,Fibroblast 2,Control,FIB2
0.16136543869859402,Fibroblast 1,Control,FIB1
