embryonic_score,celltype,condition,celltype_short
0.022170119741674165,Fibroblast 3,Control,FIB3
-0.03642125403089772,Fibroblast 3,Control,FIB3
-0.018721426189383286,Fibroblast 2,Control,FIB2
0.029101349461122156,Fibroblast 3,Control,FIB3
0.0669553813249968,Fibroblast 2,Control,FIB2
0.07036027845895526,Fibroblast 3,Control,FIB3
0.14099305417972394,Fibroblast 2,Control,FIB2
0.05339637955252684,Fibroblast 2,Control,FIB2
0.14264939883397315,Fibroblast 3,Control,FIB3
-0.09273868388473999,Fibroblast 2,Control,FIB2
0.05010868842893009,Fibroblast 3,Control,FIB3
0.019063769869761063,Fibroblast 2,Control,FIB2
-0.07650656496046272,Fibroblast 3,Control,FIB3
-0.04742048869159012,Fibroblast 3,Control,FIB3
0.11822534162503517,Fibroblast 4,Control,FIB4
-0.03401005445095022,Fibroblast 2,Control,FIB2
0.0649766494742615,Fibroblast 4,Control,FIB4
0.0670616552380005,Fibroblast 3,Control,FIB3
0.04308361041412884,Fibroblast 1,Control,FIB1
0.0516592672438986,Fibroblast 3,Control,FIB3
0.06393811993629617,Fibroblast 1,Control,FIB1
0.049966149239370095,Fibroblast 3,Control,FIB3
-0.10660284083467585,Fibroblast 3,Control,FIB3
0.07074055913882543,Fibroblast 3,Control,FIB3
0.014337957680074839,Fibroblast 2,Control,FIB2
0.16804407152871892,Fibroblast 4,Control,FIB4
-0.052331278803039,Fibroblast 3,Control,FIB3
0.02022683986860563,Fibroblast 3,Control,FIB3
-0.032891904082344346,Fibroblast 2,Control,FIB2
-0.039229751638623654,Fibroblast 3,Control,FIB3
0.1318651812387382,Fibroblast 1,Control,FIB1
-0.007220478165672187,Fibroblast 1,Control,FIB1
0.008221058696874532,Fibroblast 1,Control,FIB1
-0.0006204013378434457,Fibroblast 2,Control,FIB2
-0.06498882604872433,Fibroblast 3,Control,FIB3
0.09644506406058734,Fibroblast 3,Control,FIB3
0.04262331324319178,Fibroblast 1,Control,FIB1
0.11403208756789768,Fibroblast 1,Control,FIB1
0.06876813138520936,Fibroblast 1,Control,FIB1
0.18916739495086554,Fibroblast 1,Control,FIB1
-0.04086159173349853,Fibroblast 3,Control,FIB3
0.1288327049766437,Fibroblast 3,Control,FIB3
0.0863494893412027,Fibroblast 2,Control,FIB2
0.00276651639021383,Fibroblast 3,Control,FIB3
0.008205759822183394,Fibroblast 1,Control,FIB1
0.11986683317423771,Fibroblast 3,Control,FIB3
-0.05598655488696567,Fibroblast 1,Control,FIB1
0.04625766330708292,Fibroblast 2,Control,FIB2
0.04620952765297139,Fibroblast 3,Control,FIB3
0.06549216052733893,Fibroblast 1,Control,FIB1
0.08352500395414839,Fibroblast 3,Control,FIB3
-0.06007390517736614,Fibroblast 3,Control,FIB3
0.05082112105035108,Fibroblast 2,Control,FIB2
-0.03810663218025108,Fibroblast 3,Control,FIB3
0.04766381444087797,Fibroblast 1,Control,FIB1
0.0650144933140637,Fibroblast 1,Control,FIB1
-0.004968086984855704,Fibroblast 2,Control,FIB2
0.03915634945844176,Fibroblast 2,Control,FIB2
-0.044799870374286815,Fibroblast 2,Control,FIB2
-0.03430389631123185,Fibroblast 3,Control,FIB3
0.08487594200763648,Fibroblast 3,Control,FIB3
0.18182810349108242,Fibroblast 4,Control,FIB4
